INSTNM,CITY,STABBR,ZIP,CONTROL,ADM_RATE,SAT_AVG,TUITIONFEE_IN,TUITIONFEE_OUT,UGDS,REGION,TUITION_DIFF
Bryn Mawr College,Bryn Mawr,PA,19010,2,0.3801,1415,50500,50500,1328,2,0
Bucknell University,Lewisburg,PA,17837,2,0.3108,1353,53986,53986,3588,2,0
Cabrini University,Radnor,PA,19087-3698,2,0.7321,1073,31350,31350,1536,2,0
California University of Pennsylvania,California,PA,15419-1394,1,0.961,1005,10840,15326,5435,2,4486
Carlow University,Pittsburgh,PA,15213-3165,2,0.9164,1005,28596,28596,1339,2,0
Carnegie Mellon University,Pittsburgh,PA,15213-3890,2,0.222,1506,53910,53910,6434,2,0
Cedar Crest College,Allentown,PA,18104-6196,2,0.6333,1069,38092,38092,1413,2,0
Chestnut Hill College,Philadelphia,PA,19118-2693,2,0.9572,1060,35180,35180,1317,2,0
Clarion University of Pennsylvania,Clarion,PA,16214,1,0.9549,1024,10890,15636,4214,2,4746
Delaware Valley University,Doylestown,PA,18901-2697,2,0.664,1070,38000,38000,1908,2,0
Drexel University,Philadelphia,PA,19104,2,0.7904,1269,52002,52002,15335,2,0
Duquesne University,Pittsburgh,PA,15282,2,0.717,1221,36394,36394,5930,2,0
East Stroudsburg University of Pennsylvania,East Stroudsburg,PA,18301-2999,1,0.8356,1018,10098,21778,5972,2,11680
Eastern University,Saint Davids,PA,19087-3696,2,0.6561,1106,32145,32145,1837,2,0
Edinboro University of Pennsylvania,Edinboro,PA,16444-0001,1,0.9253,1029,10282,14668,4229,2,4386
Elizabethtown College,Elizabethtown,PA,17022-2298,2,0.7402,1181,45350,45350,1647,2,0
Gannon University,Erie,PA,16541-0001,2,0.799,1119,30932,30932,2616,2,0
Geneva College,Beaver Falls,PA,15010-3599,2,0.6901,1110,26070,26070,1330,2,0
Grove City College,Grove City,PA,16127-2104,2,0.7987,1212,17254,17254,2327,2,0
Gwynedd Mercy University,Gwynedd Valley,PA,19437-0901,2,0.9377,1021,33600,33600,1987,2,0
Haverford College,Haverford,PA,19041-1392,2,0.2005,1472,52994,52994,1291,2,0
Holy Family University,Philadelphia,PA,19114-2009,2,0.7075,1005,30346,30346,1904,2,0
Immaculata University,Immaculata,PA,19345,2,0.8294,1053,27350,27350,1383,2,0
Indiana University of Pennsylvania-Main Campus,Indiana,PA,15705-1098,1,0.9082,1016,12119,17271,9965,2,5152
Kutztown University of Pennsylvania,Kutztown,PA,19530-0730,1,0.8314,1056,9987,13975,7443,2,3988
La Roche University,Pittsburgh,PA,15237-5898,2,0.9657,1045,27720,27720,1312,2,0
Lafayette College,Easton,PA,18042-1768,2,0.3081,1363,51600,51600,2567,2,0
Lancaster Bible College,Lancaster,PA,17601-5036,2,0.7181,1070,22580,22580,1647,2,0
Lebanon Valley College,Annville,PA,17003-1400,2,0.73,1162,42180,42180,1658,2,0
Lehigh University,Bethlehem,PA,18015,2,0.2515,1382,50740,50740,5057,2,0
Lincoln University,Lincoln University,PA,19352-0999,1,0.7968,970,11379,17151,1994,2,5772
Lock Haven University,Lock Haven,PA,17745-2390,1,0.8904,1004,10576,20056,3425,2,9480
Lycoming College,Williamsport,PA,17701-5192,2,0.6403,1105,38618,38618,1192,2,0
Manor College,Jenkintown,PA,19046-3399,2,0.9255,885,17029,17029,602,2,0
Mansfield University of Pennsylvania,Mansfield,PA,16933,1,0.8919,1035,12316,22008,1770,2,9692
Marywood University,Scranton,PA,18509-1598,2,0.7512,1033,33940,33940,1835,2,0
Messiah College,Mechanicsburg,PA,17055,2,0.7701,1212,34160,34160,2670,2,0
Millersville University of Pennsylvania,Millersville,PA,17551-0302,1,0.7949,1065,11858,21560,6613,2,9702
Misericordia University,Dallas,PA,18612-1098,2,0.7879,1127,31660,31660,2100,2,0
Moore College of Art and Design,Philadelphia,PA,19103-1179,2,0.5407,1140,39833,39833,373,2,0
Moravian College,Bethlehem,PA,18018-6650,2,0.7597,1121,42024,42024,2007,2,0
Mount Aloysius College,Cresson,PA,16630-1999,2,0.6087,1030,22430,22430,1185,2,0
Muhlenberg College,Allentown,PA,18104,2,0.4836,1270,50830,50830,2329,2,0
Neumann University,Aston,PA,19014-1298,2,0.9628,978,30050,30050,1997,2,0
Pennsylvania State University-Penn State Erie-Behrend College,Erie,PA,16563-0001,1,0.8891,1158,15190,23692,4283,2,8502
Pennsylvania State University-Penn State New Kensington,New Kensington,PA,15068-1765,1,0.7676,1086,13694,21328,573,2,7634
Pennsylvania State University-Penn State Shenango,Sharon,PA,16146-1537,1,0.7428,1029,13324,20810,345,2,7486
Pennsylvania State University-Penn State Wilkes-Barre,Lehman,PA,18627-0217,1,0.8245,1078,13568,21202,404,2,7634
Pennsylvania State University-Penn State Scranton,Dunmore,PA,18512-1602,1,0.7792,1037,14460,22378,1003,2,7918
Pennsylvania State University-Penn State Lehigh Valley,Center Valley,PA,18034-8447,1,0.8534,1105,14460,22378,823,2,7918
Pennsylvania State University-Penn State Altoona,Altoona,PA,16601-3777,1,0.9225,1099,15190,23692,3451,2,8502
Pennsylvania State University-Penn State Beaver,Monaca,PA,15061-2764,1,0.8131,1101,13694,21328,598,2,7634
Pennsylvania State University-Penn State Berks,Reading,PA,19610-1016,1,0.857,1094,15190,23692,2635,2,8502
Pennsylvania State University-Penn State Harrisburg,Middletown,PA,17057-4846,1,0.8375,1154,15190,23692,4223,2,8502
Pennsylvania State University-Penn State Brandywine,Media,PA,19063-5522,1,0.8703,1083,14460,22378,1366,2,7918
Pennsylvania State University-Penn State DuBois,DuBois,PA,15801-2549,1,0.8387,1095,13632,21266,497,2,7634
Pennsylvania State University-Penn State Fayette- Eberly,Lemont Furnace,PA,15456-1025,1,0.8214,1037,13632,21266,649,2,7634
Pennsylvania State University-Penn State Hazleton,Hazleton,PA,18202-8025,1,0.9352,1040,14460,22378,699,2,7918
Pennsylvania State University-Main Campus,University Park,PA,16802-1503,1,0.5031,1269,18436,33664,40553,2,15228
Pennsylvania State University-Penn State Greater Allegheny,McKeesport,PA,15132-7644,1,0.8187,1074,13694,21328,488,2,7634
Pennsylvania State University-Penn State Mont Alto,Mont Alto,PA,17237-9700,1,0.7476,1072,13694,21328,759,2,7634
Pennsylvania State University-Penn State Abington,Abington,PA,19001-3918,1,0.8523,1097,14516,22558,3674,2,8042
Pennsylvania State University-Penn State Schuylkill,Schuylkill Haven,PA,17972-2202,1,0.7555,1007,14398,22316,695,2,7918
